GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US530330001001,530330001001,"Block Group 1, Census Tract 1, King County, Washington",608,101,78,88,0,12,0,12,15,24,15,23,0,12,15,25,0,12,0,12,10,16,30,34,93,83,63,50,13,21,93,62,183,70
1500000US530330001002,530330001002,"Block Group 2, Census Tract 1, King County, Washington",758,151,67,55,75,54,19,30,18,29,19,30,14,22,79,91,63,74,51,49,97,79,39,36,100,67,67,68,28,24,6,13,16,26
1500000US530330001003,530330001003,"Block Group 3, Census Tract 1, King County, Washington",724,121,98,59,67,47,62,72,41,68,11,19,0,12,0,12,0,12,30,32,36,38,79,44,94,81,84,58,17,28,69,56,36,40
1500000US530330001004,530330001004,"Block Group 4, Census Tract 1, King County, Washington",1052,147,148,94,45,41,106,93,130,98,54,61,34,39,140,113,10,16,12,21,122,91,41,39,117,67,78,86,15,25,0,12,0,12
1500000US530330001005,530330001005,"Block Group 5, Census Tract 1, King County, Washington",637,116,37,28,43,42,43,40,75,69,80,80,27,29,27,31,27,29,13,21,57,40,58,74,57,71,14,21,18,29,46,42,15,25
1500000US530330002001,530330002001,"Block Group 1, Census Tract 2, King County, Washington",545,119,0,12,0,12,0,12,0,12,0,12,0,12,11,17,16,25,29,35,94,85,62,42,125,60,132,100,29,34,47,39,0,12
1500000US530330002002,530330002002,"Block Group 2, Census Tract 2, King County, Washington",444,88,41,44,28,32,17,26,0,12,0,12,17,28,0,12,25,38,17,28,81,59,99,56,33,37,71,52,15,26,0,12,0,12
1500000US530330002003,530330002003,"Block Group 3, Census Tract 2, King County, Washington",860,126,67,57,17,27,19,29,39,46,115,78,0,12,58,44,78,60,46,67,188,102,56,53,44,48,27,30,73,52,12,17,21,34
1500000US530330002004,530330002004,"Block Group 4, Census Tract 2, King County, Washington",558,114,18,31,0,12,44,42,57,44,16,25,0,12,16,25,0,12,17,26,114,93,72,57,90,59,34,38,24,27,43,42,13,21
